investor_id,age_group,gender,state,city_tier,registration_date,sip_amount,source_file
INV00001,46-55,Male,Delhi,T30,2024-07-31,2465.49,synthetic_investors
INV00002,65+,Female,West Bengal,T30,2023-08-06,1523.61,synthetic_investors
INV00003,36-45,Female,West Bengal,B30,2021-08-31,4878.68,synthetic_investors
INV00004,26-35,Male,Telangana,B30,2013-10-27,3171.24,synthetic_investors
INV00005,46-55,Male,Maharashtra,B30,2026-02-06,3507.02,synthetic_investors
INV00006,26-35,Male,Delhi,T30,2013-07-29,3448.15,synthetic_investors
INV00007,46-55,Female,Delhi,T30,2017-05-24,4221.33,synthetic_investors
INV00008,26-35,Male,Rajasthan,T30,2019-05-29,3574.74,synthetic_investors
INV00009,36-45,Female,Rajasthan,T30,2022-06-12,3960.94,synthetic_investors
INV00010,56-65,Male,Telangana,T30,2016-11-10,2912.69,synthetic_investors
INV00011,26-35,Male,West Bengal,T30,2023-08-06,2360.68,synthetic_investors
INV00012,46-55,Male,Uttar Pradesh,T30,2020-09-05,4822.54,synthetic_investors
INV00013,46-55,Male,Telangana,B30,2020-08-06,3911.32,synthetic_investors
INV00014,36-45,Male,West Bengal,T30,2017-01-24,4125.5,synthetic_investors
INV00015,26-35,Male,Andhra Pradesh,T30,2024-07-01,2670.4,synthetic_investors
INV00016,26-35,Male,Delhi,T30,2021-11-29,3291.32,synthetic_investors
INV00017,46-55,Male,Delhi,T30,2023-12-19,3551.67,synthetic_investors
INV00018,26-35,Female,Rajasthan,T30,2019-03-15,3207.2,synthetic_investors
INV00019,26-35,Female,Delhi,T30,2018-12-30,2956.18,synthetic_investors
INV00020,46-55,Male,Andhra Pradesh,T30,2014-02-24,3117.88,synthetic_investors
INV00021,56-65,Female,Delhi,B30,2016-07-28,2620.44,synthetic_investors
INV00022,46-55,Male,West Bengal,T30,2016-08-27,3568.1,synthetic_investors
INV00023,36-45,Male,West Bengal,T30,2017-02-08,4018.74,synthetic_investors
INV00024,56-65,Female,Delhi,T30,2022-09-10,2811.01,synthetic_investors
INV00025,36-45,Male,Rajasthan,T30,2014-02-09,4678.2,synthetic_investors
INV00026,36-45,Male,Rajasthan,T30,2014-12-06,3537.1,synthetic_investors
INV00027,26-35,Female,Andhra Pradesh,T30,2020-11-04,3565.85,synthetic_investors
INV00028,18-25,Female,Delhi,B30,2019-06-28,2531.9,synthetic_investors
INV00029,36-45,Male,Delhi,T30,2025-08-25,2773.04,synthetic_investors
INV00030,26-35,Male,Uttar Pradesh,T30,2020-01-09,3118.9,synthetic_investors
INV00031,56-65,Female,Uttar Pradesh,T30,2014-11-21,1955.96,synthetic_investors
