fact_nav_key,fund_key,date_key,nav,previous_nav,nav_change,nav_return_pct,source_file
1,4,20130102,14.6967,,,,nav_118632_20260625.csv
2,4,20130103,14.7305,14.6967,0.033799999999999386,0.22998360176093535,nav_118632_20260625.csv
3,4,20130104,14.8037,14.7305,0.07319999999999993,0.4969281422898065,nav_118632_20260625.csv
4,4,20130107,14.7718,14.8037,-0.031899999999998485,-0.215486668873312,nav_118632_20260625.csv
5,4,20130108,14.7197,14.7718,-0.052100000000001145,-0.35269906172572835,nav_118632_20260625.csv
6,4,20130109,14.7249,14.7197,0.0052000000000003155,0.035326806932208646,nav_118632_20260625.csv
7,4,20130110,14.6784,14.7249,-0.046499999999999986,-0.3157916182792412,nav_118632_20260625.csv
8,4,20130111,14.6421,14.6784,-0.036300000000000665,-0.24730215827338584,nav_118632_20260625.csv
9,4,20130114,14.7844,14.6421,0.14230000000000054,0.971855130070144,nav_118632_20260625.csv
10,4,20130115,14.8315,14.7844,0.047100000000000364,0.31857904277481913,nav_118632_20260625.csv
11,4,20130116,14.6876,14.8315,-0.14390000000000036,-0.9702322758992709,nav_118632_20260625.csv
12,4,20130117,14.7703,14.6876,0.08270000000000088,0.5630599961872661,nav_118632_20260625.csv
13,4,20130118,14.8654,14.7703,0.09509999999999863,0.6438596372450026,nav_118632_20260625.csv
14,4,20130121,14.9285,14.8654,0.06310000000000038,0.4244756279683048,nav_118632_20260625.csv
15,4,20130122,14.8574,14.9285,-0.0710999999999995,-0.47627022138861574,nav_118632_20260625.csv
16,4,20130123,14.7986,14.8574,-0.05879999999999974,-0.3957623810357111,nav_118632_20260625.csv
17,4,20130124,14.6226,14.7986,-0.17600000000000016,-1.1893016907004728,nav_118632_20260625.csv
18,4,20130125,14.7605,14.6226,0.13790000000000013,0.9430607415917835,nav_118632_20260625.csv
19,4,20130128,14.7737,14.7605,0.013199999999999434,0.08942786490972145,nav_118632_20260625.csv
20,4,20130129,14.681,14.7737,-0.09270000000000067,-0.6274663760601655,nav_118632_20260625.csv
21,4,20130130,14.6583,14.681,-0.02269999999999861,-0.15462161978065941,nav_118632_20260625.csv
22,4,20130131,14.6179,14.6583,-0.04039999999999999,-0.2756117694412039,nav_118632_20260625.csv
23,4,20130201,14.5671,14.6179,-0.05080000000000062,-0.34751913749581415,nav_118632_20260625.csv
24,4,20130204,14.5479,14.5671,-0.019199999999999662,-0.1318038593817552,nav_118632_20260625.csv
25,4,20130205,14.4313,14.5479,-0.11660000000000004,-0.8014902494518111,nav_118632_20260625.csv
26,4,20130206,14.4775,14.4313,0.04619999999999891,0.32013747895199257,nav_118632_20260625.csv
27,4,20130207,14.4048,14.4775,-0.07269999999999932,-0.5021585218442365,nav_118632_20260625.csv
28,4,20130208,14.3212,14.4048,-0.08360000000000056,-0.5803621015217189,nav_118632_20260625.csv
29,4,20130211,14.2908,14.3212,-0.03039999999999843,-0.21227271457697977,nav_118632_20260625.csv
30,4,20130212,14.3298,14.2908,0.0389999999999997,0.27290284658661307,nav_118632_20260625.csv
31,4,20130213,14.3617,14.3298,0.03190000000000026,0.22261301623191015,nav_118632_20260625.csv
32,4,20130214,14.1541,14.3617,-0.20760000000000112,-1.4455113252609448,nav_118632_20260625.csv
33,4,20130215,14.1364,14.1541,-0.017699999999999605,-0.12505210504376546,nav_118632_20260625.csv
34,4,20130218,14.1843,14.1364,0.047900000000000276,0.33884157211171356,nav_118632_20260625.csv
35,4,20130219,14.2926,14.1843,0.10829999999999984,0.7635202301135752,nav_118632_20260625.csv
36,4,20130220,14.2782,14.2926,-0.01440000000000019,-0.10075143780697837,nav_118632_20260625.csv
37,4,20130221,14.0679,14.2782,-0.21030000000000015,-1.4728747321090905,nav_118632_20260625.csv
38,4,20130222,14.0985,14.0679,0.03059999999999974,0.21751647367410729,nav_118632_20260625.csv
39,4,20130225,14.0828,14.0985,-0.015699999999998937,-0.11135936447139014,nav_118632_20260625.csv
40,4,20130226,13.8873,14.0828,-0.1955000000000009,-1.3882182520521549,nav_118632_20260625.csv
41,4,20130227,13.9873,13.8873,0.09999999999999964,0.7200823774239747,nav_118632_20260625.csv
42,4,20130228,13.7174,13.9873,-0.2698999999999998,-1.9296075725836999,nav_118632_20260625.csv
