transaction_key,fund_key,transaction_date_key,investor_id,transaction_type,amount,units,nav,state,kyc_status,source_file
1,6,20220101,INV00226,LUMPSUM,25398.85,124.82,50.88,Tamil Nadu,Pending,synthetic_transactions
2,3,20220101,INV00123,SIP,15216.26,144.36,150.34,Tamil Nadu,Verified,synthetic_transactions
3,5,20220101,INV00093,SIP,16545.48,475.61,217.87,Rajasthan,Verified,synthetic_transactions
4,4,20220101,INV00158,SIP,13672.56,120.39,161.96,Telangana,Pending,synthetic_transactions
5,5,20220101,INV00155,LUMPSUM,23571.09,264.78,118.25,West Bengal,Verified,synthetic_transactions
6,6,20220101,INV00162,SIP,15754.93,110.13,86.97,Delhi,Verified,synthetic_transactions
7,5,20220101,INV00199,SIP,19349.12,388.11,183.55,Gujarat,Verified,synthetic_transactions
8,4,20220101,INV00084,SIP,13882.11,72.56,71.78,Gujarat,Verified,synthetic_transactions
9,1,20220101,INV00064,LUMPSUM,25625.62,150.26,22.62,Telangana,Pending,synthetic_transactions
10,6,20220101,INV00156,SIP,15932.63,106.96,11.11,Uttar Pradesh,Verified,synthetic_transactions
11,3,20220101,INV00219,SIP,15909.25,971.99,188.43,Rajasthan,Verified,synthetic_transactions
12,5,20220101,INV00232,SIP,16989.6,1501.7,198.8,Uttar Pradesh,Verified,synthetic_transactions
13,1,20220101,INV00109,LUMPSUM,29008.77,199.21,74.88,Tamil Nadu,Verified,synthetic_transactions
14,2,20220101,INV00187,SIP,9677.01,69.74,241.7,Telangana,Pending,synthetic_transactions
15,6,20220101,INV00117,LUMPSUM,21106.34,138.29,220.76,Uttar Pradesh,Verified,synthetic_transactions
16,4,20220101,INV00074,SIP,16535.68,131.63,145.45,Rajasthan,Pending,synthetic_transactions
17,1,20220101,INV00204,SIP,18082.25,183.03,110.23,Gujarat,Verified,synthetic_transactions
18,3,20220101,INV00140,SIP,13312.22,170.11,82.91,Uttar Pradesh,Verified,synthetic_transactions
19,6,20220101,INV00153,SIP,15940.11,131.43,175.63,Uttar Pradesh,Verified,synthetic_transactions
20,2,20220101,INV00097,SIP,14944.38,94.29,19.62,Uttar Pradesh,Verified,synthetic_transactions
21,2,20220101,INV00157,SIP,11027.76,253.46,55.23,Tamil Nadu,Verified,synthetic_transactions
22,6,20220101,INV00046,SIP,17191.36,160.37,204.15,West Bengal,Pending,synthetic_transactions
23,2,20220101,INV00238,SIP,16644.72,75.96,162.22,West Bengal,Verified,synthetic_transactions
24,6,20220101,INV00112,SIP,16097.48,116.39,248.45,Rajasthan,Pending,synthetic_transactions
25,5,20220101,INV00151,SIP,13169.29,159.78,226.72,Andhra Pradesh,Verified,synthetic_transactions
26,6,20220101,INV00091,LUMPSUM,20770.29,543.71,24.36,Telangana,Verified,synthetic_transactions
27,5,20220101,INV00009,SIP,14059.47,61.19,146.19,Delhi,Verified,synthetic_transactions
28,2,20220101,INV00056,SIP,17290.78,71.3,84.56,Delhi,Verified,synthetic_transactions
29,4,20220101,INV00195,SIP,12182.53,373.37,218.15,Rajasthan,Verified,synthetic_transactions
30,3,20220101,INV00038,LUMPSUM,26072.8,122.92,236.41,Maharashtra,Verified,synthetic_transactions
31,4,20220101,INV00205,SIP,16390.19,116.71,225.74,Delhi,Pending,synthetic_transactions
32,5,20220101,INV00077,SIP,7832.36,65.52,102.72,Maharashtra,Verified,synthetic_transactions
33,6,20220101,INV00111,SIP,18121.89,633.97,197.17,Telangana,Verified,synthetic_transactions
34,6,20220101,INV00174,LUMPSUM,27693.48,1501.63,47.81,Maharashtra,Verified,synthetic_transactions
35,4,20220101,INV00167,LUMPSUM,25506.63,190.66,234.68,Rajasthan,Pending,synthetic_transactions
36,3,20220101,INV00137,SIP,14190.04,302.79,25.2,Andhra Pradesh,Verified,synthetic_transactions
37,4,20220101,INV00131,SIP,15639.77,112.57,160.24,Rajasthan,Verified,synthetic_transactions
