amfi_code,scheme_name,sector,weight
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Financial Services,30.0
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Information Technology,18.0
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Healthcare,12.0
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Consumer Durables,10.0
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Energy,8.0
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Automobile,7.0
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,FMCG,5.0
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Others,10.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Financial Services,35.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Information Technology,15.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Energy,12.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,FMCG,10.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Automobile,8.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Consumer Durables,6.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Construction,5.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Others,9.0
125497,SBI Small Cap Fund - Direct Plan - Growth,Consumer Durables,20.0
125497,SBI Small Cap Fund - Direct Plan - Growth,Industrial Manufacturing,18.0
125497,SBI Small Cap Fund - Direct Plan - Growth,Healthcare,15.0
125497,SBI Small Cap Fund - Direct Plan - Growth,Financial Services,12.0
125497,SBI Small Cap Fund - Direct Plan - Growth,Information Technology,10.0
125497,SBI Small Cap Fund - Direct Plan - Growth,FMCG,8.0
125497,SBI Small Cap Fund - Direct Plan - Growth,Chemicals,7.0
125497,SBI Small Cap Fund - Direct Plan - Growth,Others,10.0
120841,quant Mid Cap Fund - Growth Option - Direct Plan,Financial Services,22.0
120841,quant Mid Cap Fund - Growth Option - Direct Plan,Energy,18.0
120841,quant Mid Cap Fund - Growth Option - Direct Plan,Metals & Mining,15.0
120841,quant Mid Cap Fund - Growth Option - Direct Plan,Consumer Durables,12.0
120841,quant Mid Cap Fund - Growth Option - Direct Plan,Information Technology,10.0
120841,quant Mid Cap Fund - Growth Option - Direct Plan,Healthcare,8.0
120841,quant Mid Cap Fund - Growth Option - Direct Plan,Chemicals,7.0
120841,quant Mid Cap Fund - Growth Option - Direct Plan,Others,8.0
