month,transaction_type,amount
2022-01,LUMPSUM,423687.06
2022-01,SIP,1073262.07
2022-02,LUMPSUM,429956.32
2022-02,SIP,1054033.8800000001
2022-03,LUMPSUM,459104.88
2022-03,SIP,1104937.69
2022-04,LUMPSUM,422859.67
2022-04,SIP,1161008.2
2022-05,LUMPSUM,449835.95
2022-05,SIP,1123220.92
2022-06,LUMPSUM,403070.65
2022-06,SIP,1234818.61
2022-07,LUMPSUM,387993.32
2022-07,SIP,1260152.41
2022-08,LUMPSUM,360755.69
2022-08,SIP,1302759.15
2022-09,LUMPSUM,325905.09
2022-09,SIP,1340269.1199999999
2022-10,LUMPSUM,438471.12
2022-10,SIP,1319140.79
2022-11,LUMPSUM,542694.25
2022-11,SIP,1303162.21
2022-12,LUMPSUM,370336.35
2022-12,SIP,1398228.35
2023-01,LUMPSUM,487568.25
2023-01,SIP,1357983.91
2023-02,LUMPSUM,658587.29
2023-02,SIP,1321522.72
2023-03,LUMPSUM,492048.03
2023-03,SIP,1390357.06
2023-04,LUMPSUM,640305.95
2023-04,SIP,1406071.71
2023-05,LUMPSUM,584597.29
2023-05,SIP,1450702.34
2023-06,LUMPSUM,638313.22
2023-06,SIP,1430664.56
2023-07,LUMPSUM,605089.65
2023-07,SIP,1487846.27
2023-08,LUMPSUM,649015.07
2023-08,SIP,1484382.2
2023-09,LUMPSUM,426605.63
2023-09,SIP,1660968.15
2023-10,LUMPSUM,454230.16
2023-10,SIP,1677462.54
2023-11,LUMPSUM,503679.99
2023-11,SIP,1705299.51
2023-12,LUMPSUM,358861.83
2023-12,SIP,1783767.55
2024-01,LUMPSUM,578754.97
2024-01,SIP,1650754.3
2024-02,LUMPSUM,404989.56
2024-02,SIP,1796300.41
2024-03,LUMPSUM,448271.84
2024-03,SIP,1810426.24
2024-04,LUMPSUM,360235.32
2024-04,SIP,1912149.76
2024-05,LUMPSUM,630568.62
2024-05,SIP,1784061.29
2024-06,LUMPSUM,639065.28
2024-06,SIP,1783935.75
2024-07,LUMPSUM,681211.43
2024-07,SIP,1793015.37
2024-08,LUMPSUM,449239.96
2024-08,SIP,2007091.64
2024-09,LUMPSUM,557398.4
2024-09,SIP,1945281.96
2024-10,LUMPSUM,915754.44
2024-10,SIP,1724526.39
2024-11,LUMPSUM,501340.97
2024-11,SIP,2037802.1199999999
2024-12,LUMPSUM,1100278.92
2024-12,SIP,1700088.32
2025-01,LUMPSUM,957535.63
2025-01,SIP,1807920.06
2025-02,LUMPSUM,1036431.75
2025-02,SIP,1803323.69
2025-03,LUMPSUM,494583.91000000003
2025-03,SIP,2152926.86
2025-04,LUMPSUM,319945.96
2025-04,SIP,2280014.84
2025-05,LUMPSUM,827255.88
2025-05,SIP,2016874.21
2025-06,LUMPSUM,750696.53
2025-06,SIP,2075809.85
2025-07,LUMPSUM,760032.3
2025-07,SIP,2165771.96
2025-08,LUMPSUM,801268.56
2025-08,SIP,2136506.9
2025-09,LUMPSUM,518377.06
2025-09,SIP,2307202.43
2025-10,LUMPSUM,734309.28
2025-10,SIP,2213132.12
2025-11,LUMPSUM,732259.83
2025-11,SIP,2256512.26
2025-12,LUMPSUM,691855.71
2025-12,SIP,2313454.3
