investor_id,sip_count,avg_gap_days,status
INV00001,12,113.5,At-Risk (Gap > 35d)
INV00002,14,100.8,At-Risk (Gap > 35d)
INV00003,13,104.1,At-Risk (Gap > 35d)
INV00004,17,81.9,At-Risk (Gap > 35d)
INV00005,10,128.3,At-Risk (Gap > 35d)
INV00006,14,107.7,At-Risk (Gap > 35d)
INV00007,12,110.7,At-Risk (Gap > 35d)
INV00008,12,121.7,At-Risk (Gap > 35d)
INV00009,16,93.3,At-Risk (Gap > 35d)
INV00010,12,105.2,At-Risk (Gap > 35d)
INV00011,17,85.7,At-Risk (Gap > 35d)
INV00012,13,114.1,At-Risk (Gap > 35d)
INV00013,13,111.8,At-Risk (Gap > 35d)
INV00014,17,83.8,At-Risk (Gap > 35d)
INV00015,20,73.6,At-Risk (Gap > 35d)
INV00016,10,135.3,At-Risk (Gap > 35d)
INV00017,17,79.8,At-Risk (Gap > 35d)
INV00018,12,110.8,At-Risk (Gap > 35d)
INV00019,14,98.2,At-Risk (Gap > 35d)
INV00020,15,93.4,At-Risk (Gap > 35d)
INV00021,16,77.1,At-Risk (Gap > 35d)
INV00022,18,78.7,At-Risk (Gap > 35d)
INV00023,13,103.9,At-Risk (Gap > 35d)
INV00024,8,182.9,At-Risk (Gap > 35d)
INV00025,13,104.1,At-Risk (Gap > 35d)
INV00026,19,76.2,At-Risk (Gap > 35d)
INV00027,21,71.5,At-Risk (Gap > 35d)
INV00028,11,136.9,At-Risk (Gap > 35d)
INV00029,18,78.7,At-Risk (Gap > 35d)
INV00030,13,104.1,At-Risk (Gap > 35d)
INV00031,17,74.2,At-Risk (Gap > 35d)
INV00032,8,199.9,At-Risk (Gap > 35d)
INV00033,15,87.0,At-Risk (Gap > 35d)
INV00034,15,102.1,At-Risk (Gap > 35d)
INV00035,16,77.0,At-Risk (Gap > 35d)
INV00036,12,127.2,At-Risk (Gap > 35d)
INV00037,12,110.7,At-Risk (Gap > 35d)
INV00038,14,96.1,At-Risk (Gap > 35d)
INV00039,14,105.3,At-Risk (Gap > 35d)
INV00040,12,121.6,At-Risk (Gap > 35d)
INV00041,16,93.3,At-Risk (Gap > 35d)
INV00042,15,93.6,At-Risk (Gap > 35d)
INV00043,13,109.2,At-Risk (Gap > 35d)
INV00044,11,134.0,At-Risk (Gap > 35d)
INV00045,13,114.1,At-Risk (Gap > 35d)
INV00046,18,84.1,At-Risk (Gap > 35d)
INV00047,17,78.1,At-Risk (Gap > 35d)
INV00048,19,77.7,At-Risk (Gap > 35d)
INV00049,13,104.1,At-Risk (Gap > 35d)
INV00050,13,91.3,At-Risk (Gap > 35d)
INV00051,11,97.4,At-Risk (Gap > 35d)
INV00052,15,97.8,At-Risk (Gap > 35d)
INV00053,12,127.3,At-Risk (Gap > 35d)
INV00054,9,118.1,At-Risk (Gap > 35d)
INV00055,19,71.1,At-Risk (Gap > 35d)
INV00056,19,72.7,At-Risk (Gap > 35d)
INV00057,17,79.8,At-Risk (Gap > 35d)
INV00058,10,121.8,At-Risk (Gap > 35d)
INV00059,15,99.9,At-Risk (Gap > 35d)
INV00060,14,93.5,At-Risk (Gap > 35d)
INV00061,13,106.6,At-Risk (Gap > 35d)
INV00062,15,97.8,At-Risk (Gap > 35d)
INV00063,16,87.3,At-Risk (Gap > 35d)
INV00064,19,74.4,At-Risk (Gap > 35d)
INV00065,15,95.6,At-Risk (Gap > 35d)
INV00066,14,96.1,At-Risk (Gap > 35d)
INV00067,11,124.9,At-Risk (Gap > 35d)
INV00068,9,144.6,At-Risk (Gap > 35d)
INV00069,10,125.2,At-Risk (Gap > 35d)
INV00070,17,81.9,At-Risk (Gap > 35d)
INV00071,12,119.1,At-Risk (Gap > 35d)
INV00072,19,77.8,At-Risk (Gap > 35d)
INV00073,9,133.1,At-Risk (Gap > 35d)
INV00074,13,114.1,At-Risk (Gap > 35d)
INV00075,17,89.4,At-Risk (Gap > 35d)
INV00076,12,110.5,At-Risk (Gap > 35d)
INV00077,13,119.2,At-Risk (Gap > 35d)
INV00078,18,80.6,At-Risk (Gap > 35d)
INV00079,18,82.3,At-Risk (Gap > 35d)
INV00080,8,174.0,At-Risk (Gap > 35d)
INV00081,13,96.4,At-Risk (Gap > 35d)
INV00082,15,91.4,At-Risk (Gap > 35d)
INV00083,15,89.2,At-Risk (Gap > 35d)
INV00084,14,110.0,At-Risk (Gap > 35d)
INV00085,11,134.1,At-Risk (Gap > 35d)
INV00086,12,127.2,At-Risk (Gap > 35d)
INV00087,10,132.0,At-Risk (Gap > 35d)
INV00088,14,89.0,At-Risk (Gap > 35d)
INV00089,15,97.8,At-Risk (Gap > 35d)
INV00090,16,93.3,At-Risk (Gap > 35d)
INV00091,20,72.1,At-Risk (Gap > 35d)
INV00092,12,124.5,At-Risk (Gap > 35d)
INV00093,11,109.6,At-Risk (Gap > 35d)
INV00094,19,70.9,At-Risk (Gap > 35d)
INV00095,13,99.0,At-Risk (Gap > 35d)
INV00096,12,105.0,At-Risk (Gap > 35d)
INV00097,17,87.5,At-Risk (Gap > 35d)
INV00098,13,106.4,At-Risk (Gap > 35d)
INV00099,10,81.2,At-Risk (Gap > 35d)
INV00100,7,228.5,At-Risk (Gap > 35d)
INV00101,9,156.1,At-Risk (Gap > 35d)
INV00102,17,78.1,At-Risk (Gap > 35d)
INV00103,12,127.2,At-Risk (Gap > 35d)
INV00104,13,91.3,At-Risk (Gap > 35d)
INV00105,15,87.0,At-Risk (Gap > 35d)
INV00106,9,140.8,At-Risk (Gap > 35d)
INV00107,8,156.6,At-Risk (Gap > 35d)
INV00108,15,102.1,At-Risk (Gap > 35d)
INV00109,15,93.6,At-Risk (Gap > 35d)
INV00110,19,76.1,At-Risk (Gap > 35d)
INV00111,15,95.6,At-Risk (Gap > 35d)
INV00112,12,130.0,At-Risk (Gap > 35d)
INV00113,20,73.6,At-Risk (Gap > 35d)
INV00114,11,134.1,At-Risk (Gap > 35d)
INV00115,11,124.9,At-Risk (Gap > 35d)
INV00116,19,74.5,At-Risk (Gap > 35d)
INV00117,11,133.8,At-Risk (Gap > 35d)
INV00118,13,106.6,At-Risk (Gap > 35d)
INV00119,13,106.4,At-Risk (Gap > 35d)
INV00120,10,152.1,At-Risk (Gap > 35d)
INV00121,10,138.4,At-Risk (Gap > 35d)
INV00122,16,77.1,At-Risk (Gap > 35d)
INV00123,19,77.8,At-Risk (Gap > 35d)
INV00124,8,95.7,At-Risk (Gap > 35d)
INV00125,15,63.1,At-Risk (Gap > 35d)
INV00126,19,76.1,At-Risk (Gap > 35d)
INV00127,15,102.1,At-Risk (Gap > 35d)
INV00128,17,87.4,At-Risk (Gap > 35d)
INV00129,8,174.0,At-Risk (Gap > 35d)
INV00130,10,108.2,At-Risk (Gap > 35d)
INV00131,19,76.1,At-Risk (Gap > 35d)
INV00132,7,172.8,At-Risk (Gap > 35d)
INV00133,8,165.3,At-Risk (Gap > 35d)
INV00134,8,126.3,At-Risk (Gap > 35d)
INV00135,14,96.1,At-Risk (Gap > 35d)
INV00136,8,152.3,At-Risk (Gap > 35d)
INV00137,13,111.6,At-Risk (Gap > 35d)
INV00138,10,142.1,At-Risk (Gap > 35d)
INV00139,12,127.2,At-Risk (Gap > 35d)
INV00140,14,105.3,At-Risk (Gap > 35d)
INV00141,18,69.9,At-Risk (Gap > 35d)
INV00142,13,101.6,At-Risk (Gap > 35d)
INV00143,19,71.1,At-Risk (Gap > 35d)
INV00144,9,133.1,At-Risk (Gap > 35d)
INV00145,12,105.2,At-Risk (Gap > 35d)
INV00146,17,78.1,At-Risk (Gap > 35d)
INV00147,12,130.0,At-Risk (Gap > 35d)
INV00149,19,76.1,At-Risk (Gap > 35d)
INV00150,17,70.4,At-Risk (Gap > 35d)
INV00151,13,119.2,At-Risk (Gap > 35d)
INV00152,11,131.0,At-Risk (Gap > 35d)
INV00153,14,110.0,At-Risk (Gap > 35d)
INV00154,15,78.3,At-Risk (Gap > 35d)
INV00155,18,71.7,At-Risk (Gap > 35d)
INV00156,21,60.8,At-Risk (Gap > 35d)
INV00157,20,70.5,At-Risk (Gap > 35d)
INV00158,9,171.1,At-Risk (Gap > 35d)
INV00159,11,124.9,At-Risk (Gap > 35d)
INV00160,17,80.0,At-Risk (Gap > 35d)
INV00161,11,124.7,At-Risk (Gap > 35d)
INV00162,18,82.4,At-Risk (Gap > 35d)
INV00163,15,86.9,At-Risk (Gap > 35d)
INV00164,16,89.4,At-Risk (Gap > 35d)
INV00165,13,104.1,At-Risk (Gap > 35d)
INV00166,9,167.6,At-Risk (Gap > 35d)
INV00167,16,81.3,At-Risk (Gap > 35d)
INV00168,13,93.8,At-Risk (Gap > 35d)
INV00169,16,93.3,At-Risk (Gap > 35d)
INV00170,15,91.4,At-Risk (Gap > 35d)
INV00171,18,78.8,At-Risk (Gap > 35d)
INV00172,12,110.5,At-Risk (Gap > 35d)
INV00173,13,103.8,At-Risk (Gap > 35d)
INV00174,12,105.2,At-Risk (Gap > 35d)
INV00175,15,78.3,At-Risk (Gap > 35d)
INV00176,15,97.9,At-Risk (Gap > 35d)
INV00177,13,106.4,At-Risk (Gap > 35d)
INV00178,14,100.8,At-Risk (Gap > 35d)
INV00179,9,167.5,At-Risk (Gap > 35d)
INV00180,15,93.4,At-Risk (Gap > 35d)
INV00181,18,82.4,At-Risk (Gap > 35d)
INV00182,13,111.7,At-Risk (Gap > 35d)
INV00183,14,105.3,At-Risk (Gap > 35d)
INV00184,11,121.8,At-Risk (Gap > 35d)
INV00185,10,149.0,At-Risk (Gap > 35d)
INV00186,13,104.1,At-Risk (Gap > 35d)
INV00187,19,76.1,At-Risk (Gap > 35d)
INV00188,8,130.7,At-Risk (Gap > 35d)
INV00189,14,107.7,At-Risk (Gap > 35d)
INV00190,18,82.3,At-Risk (Gap > 35d)
INV00191,11,137.1,At-Risk (Gap > 35d)
INV00192,13,104.1,At-Risk (Gap > 35d)
INV00193,13,111.8,At-Risk (Gap > 35d)
INV00194,11,100.4,At-Risk (Gap > 35d)
INV00195,20,75.3,At-Risk (Gap > 35d)
INV00196,18,77.1,At-Risk (Gap > 35d)
INV00197,11,115.8,At-Risk (Gap > 35d)
INV00198,16,87.2,At-Risk (Gap > 35d)
INV00199,13,116.7,At-Risk (Gap > 35d)
INV00200,13,116.6,At-Risk (Gap > 35d)
INV00201,12,99.6,At-Risk (Gap > 35d)
INV00202,16,91.4,At-Risk (Gap > 35d)
INV00203,11,121.8,At-Risk (Gap > 35d)
INV00204,13,119.2,At-Risk (Gap > 35d)
INV00205,12,110.5,At-Risk (Gap > 35d)
INV00206,14,107.6,At-Risk (Gap > 35d)
INV00207,18,68.1,At-Risk (Gap > 35d)
INV00208,16,91.3,At-Risk (Gap > 35d)
INV00209,13,111.5,At-Risk (Gap > 35d)
INV00210,17,79.9,At-Risk (Gap > 35d)
INV00211,20,75.3,At-Risk (Gap > 35d)
INV00212,13,106.7,At-Risk (Gap > 35d)
INV00213,15,87.0,At-Risk (Gap > 35d)
INV00214,14,103.1,At-Risk (Gap > 35d)
INV00215,16,87.3,At-Risk (Gap > 35d)
INV00216,15,89.2,At-Risk (Gap > 35d)
INV00217,13,116.6,At-Risk (Gap > 35d)
INV00218,16,95.3,At-Risk (Gap > 35d)
INV00219,13,98.8,At-Risk (Gap > 35d)
INV00220,20,75.3,At-Risk (Gap > 35d)
INV00221,14,98.5,At-Risk (Gap > 35d)
INV00222,16,87.3,At-Risk (Gap > 35d)
INV00223,17,81.8,At-Risk (Gap > 35d)
INV00224,12,119.1,At-Risk (Gap > 35d)
INV00225,16,93.3,At-Risk (Gap > 35d)
INV00226,20,73.6,At-Risk (Gap > 35d)
INV00227,10,121.8,At-Risk (Gap > 35d)
INV00228,9,118.1,At-Risk (Gap > 35d)
INV00229,17,87.5,At-Risk (Gap > 35d)
INV00230,22,68.1,At-Risk (Gap > 35d)
INV00231,18,82.3,At-Risk (Gap > 35d)
INV00232,15,100.0,At-Risk (Gap > 35d)
INV00233,13,109.2,At-Risk (Gap > 35d)
INV00234,19,72.8,At-Risk (Gap > 35d)
INV00235,13,111.5,At-Risk (Gap > 35d)
INV00236,10,145.6,At-Risk (Gap > 35d)
INV00237,11,133.8,At-Risk (Gap > 35d)
INV00238,8,182.4,At-Risk (Gap > 35d)
INV00239,10,125.1,At-Risk (Gap > 35d)
INV00240,17,85.6,At-Risk (Gap > 35d)
INV00241,15,91.2,At-Risk (Gap > 35d)
INV00242,12,127.3,At-Risk (Gap > 35d)
INV00243,16,93.3,At-Risk (Gap > 35d)
INV00244,17,74.1,At-Risk (Gap > 35d)
INV00245,8,178.4,At-Risk (Gap > 35d)
INV00246,11,134.1,At-Risk (Gap > 35d)
INV00247,15,99.9,At-Risk (Gap > 35d)
INV00248,8,165.3,At-Risk (Gap > 35d)
INV00249,12,94.1,At-Risk (Gap > 35d)
INV00250,16,93.3,At-Risk (Gap > 35d)
